CMDLINE C:\Python310\python.exe main.py
MEM 1.722656 1721427484.9801
MEM 26.039062 1721427485.0951
MEM 44.542969 1721427485.2061
MEM 54.175781 1721427485.3176
MEM 68.859375 1721427485.4289
MEM 91.160156 1721427485.5377
MEM 150.039062 1721427485.6491
MEM 195.101562 1721427485.7607
MEM 196.027344 1721427485.8717
MEM 196.058594 1721427485.9801
MEM 196.093750 1721427486.0916
MEM 196.128906 1721427486.2036
MEM 196.152344 1721427486.3136
MEM 196.203125 1721427486.4236
MEM 196.203125 1721427486.5354
MEM 196.222656 1721427486.6475
MEM 196.230469 1721427486.7571
MEM 197.035156 1721427486.8677
MEM 196.246094 1721427486.9765
MEM 196.250000 1721427487.0856
MEM 196.257812 1721427487.1947
MEM 196.277344 1721427487.3026
MEM 196.289062 1721427487.4134
MEM 196.289062 1721427487.5231
MEM 196.296875 1721427487.6332
MEM 196.304688 1721427487.7437
MEM 196.312500 1721427487.8533
MEM 196.320312 1721427487.9630
MEM 196.328125 1721427488.0741
MEM 196.328125 1721427488.1850
MEM 196.339844 1721427488.2935
MEM 196.347656 1721427488.4036
MEM 196.355469 1721427488.5138
MEM 195.542969 1721427488.6242
MEM 194.539062 1721427488.7340
MEM 194.542969 1721427488.8440
MEM 194.550781 1721427488.9560
MEM 194.558594 1721427489.0662
MEM 194.566406 1721427489.1750
MEM 194.574219 1721427489.2842
MEM 194.582031 1721427489.3934
MEM 194.589844 1721427489.5013
MEM 194.597656 1721427489.6110
MEM 194.632812 1721427489.7201
MEM 194.636719 1721427489.8283
MEM 193.839844 1721427489.9370
MEM 193.871094 1721427490.0442
MEM 194.789062 1721427490.1530
MEM 194.812500 1721427490.2606
MEM 194.843750 1721427490.3715
MEM 194.058594 1721427490.4810
MEM 194.078125 1721427490.5926
MEM 194.125000 1721427490.7046
MEM 194.152344 1721427490.8165
MEM 195.042969 1721427490.9285
MEM 195.058594 1721427491.0390
MEM 195.078125 1721427491.1510
MEM 195.101562 1721427491.2630
MEM 195.140625 1721427491.3750
MEM 195.167969 1721427491.4842
MEM 195.183594 1721427491.5950
MEM 194.332031 1721427491.7060
MEM 194.347656 1721427491.8140
MEM 194.382812 1721427491.9240
MEM 195.273438 1721427492.0350
MEM 192.437500 1721427492.1460
MEM 193.347656 1721427492.2570
MEM 193.863281 1721427492.3665
MEM 193.875000 1721427492.4745
MEM 193.890625 1721427492.5849
MEM 193.906250 1721427492.6942
MEM 193.925781 1721427492.8037
MEM 193.304688 1721427492.9139
MEM 192.390625 1721427493.0259
MEM 192.425781 1721427493.1355
MEM 192.437500 1721427493.2445
MEM 192.449219 1721427493.3554
MEM 192.464844 1721427493.4669
MEM 192.480469 1721427493.5789
MEM 192.496094 1721427493.6905
MEM 191.738281 1721427493.8002
MEM 192.628906 1721427493.9115
MEM 192.640625 1721427494.0219
MEM 192.656250 1721427494.1339
MEM 192.671875 1721427494.2459
MEM 192.683594 1721427494.3579
MEM 192.718750 1721427494.4689
MEM 192.738281 1721427494.5780
MEM 192.757812 1721427494.6895
MEM 191.914062 1721427494.8009
MEM 191.929688 1721427494.9109
MEM 191.941406 1721427495.0203
MEM 191.957031 1721427495.1313
MEM 191.972656 1721427495.2434
MEM 191.988281 1721427495.3533
MEM 192.015625 1721427495.4649
MEM 192.031250 1721427495.5749
MEM 192.062500 1721427495.6854
MEM 192.078125 1721427495.7934
MEM 192.085938 1721427495.9045
MEM 192.089844 1721427496.0152
MEM 192.300781 1721427496.1252
MEM 192.093750 1721427496.2343
MEM 193.000000 1721427496.3439
MEM 193.000000 1721427496.4559
MEM 193.011719 1721427496.5679
MEM 192.148438 1721427496.6799
MEM 192.148438 1721427496.7918
MEM 192.152344 1721427496.9038
MEM 192.156250 1721427497.0138
MEM 192.160156 1721427497.1239
MEM 192.183594 1721427497.2349
MEM 192.191406 1721427497.3468
MEM 192.191406 1721427497.4552
MEM 192.191406 1721427497.5642
MEM 192.191406 1721427497.6738
MEM 193.054688 1721427497.7832
MEM 193.058594 1721427497.8922
MEM 192.195312 1721427498.0032
MEM 193.058594 1721427498.1122
MEM 193.058594 1721427498.2232
MEM 193.062500 1721427498.3322
MEM 192.203125 1721427498.4394
MEM 193.066406 1721427498.5478
MEM 193.066406 1721427498.6588
MEM 192.203125 1721427498.7668
MEM 192.203125 1721427498.8768
MEM 193.070312 1721427498.9888
MEM 193.070312 1721427499.0988
MEM 192.207031 1721427499.2108
MEM 193.171875 1721427499.3228
MEM 193.175781 1721427499.4348
MEM 193.179688 1721427499.5468
MEM 192.316406 1721427499.6578
MEM 193.179688 1721427499.7658
MEM 193.179688 1721427499.8728
MEM 193.183594 1721427499.9828
MEM 193.183594 1721427500.0948
MEM 192.320312 1721427500.2068
MEM 193.183594 1721427500.3188
MEM 193.187500 1721427500.4308
MEM 193.191406 1721427500.5428
MEM 193.191406 1721427500.6518
MEM 192.328125 1721427500.7628
MEM 193.191406 1721427500.8748
MEM 193.195312 1721427500.9868
MEM 192.332031 1721427501.0988
MEM 193.195312 1721427501.2108
MEM 193.195312 1721427501.3228
MEM 192.332031 1721427501.4348
MEM 193.210938 1721427501.5468
MEM 193.214844 1721427501.6578
MEM 192.351562 1721427501.7668
MEM 193.214844 1721427501.8788
MEM 193.218750 1721427501.9907
MEM 192.355469 1721427502.1007
MEM 193.230469 1721427502.2127
MEM 193.230469 1721427502.3247
MEM 193.230469 1721427502.4363
MEM 192.367188 1721427502.5480
MEM 193.238281 1721427502.6582
MEM 192.378906 1721427502.7702
MEM 193.242188 1721427502.8797
MEM 193.246094 1721427502.9917
MEM 192.382812 1721427503.1033
MEM 192.730469 1721427503.2132
MEM 192.382812 1721427503.3237
MEM 193.257812 1721427503.4337
MEM 193.257812 1721427503.5452
MEM 192.394531 1721427503.6543
MEM 193.261719 1721427503.7622
MEM 193.265625 1721427503.8692
MEM 193.265625 1721427503.9802
MEM 192.406250 1721427504.0912
MEM 193.269531 1721427504.2022
MEM 193.269531 1721427504.3142
MEM 192.406250 1721427504.4263
MEM 193.769531 1721427504.5352
MEM 193.746094 1721427504.6442
MEM 192.925781 1721427504.7536
MEM 193.792969 1721427504.8626
MEM 193.792969 1721427504.9722
MEM 192.933594 1721427505.0812
MEM 193.796875 1721427505.1933
MEM 193.796875 1721427505.3047
MEM 192.933594 1721427505.4162
MEM 193.796875 1721427505.5276
MEM 193.796875 1721427505.6372
MEM 193.796875 1721427505.7454
MEM 192.937500 1721427505.8556
MEM 193.808594 1721427505.9676
MEM 192.949219 1721427506.0792
MEM 193.812500 1721427506.1902
MEM 193.812500 1721427506.3012
MEM 193.816406 1721427506.4132
MEM 193.195312 1721427506.5252
MEM 193.816406 1721427506.6372
MEM 193.816406 1721427506.7487
MEM 192.953125 1721427506.8602
MEM 193.824219 1721427506.9702
MEM 193.828125 1721427507.0792
MEM 193.828125 1721427507.1889
MEM 192.964844 1721427507.2982
MEM 193.828125 1721427507.4095
MEM 193.828125 1721427507.5211
MEM 193.828125 1721427507.6302
MEM 193.828125 1721427507.7411
MEM 193.828125 1721427507.8526
MEM 192.968750 1721427507.9646
MEM 193.835938 1721427508.0751
MEM 193.839844 1721427508.1830
MEM 193.839844 1721427508.2939
MEM 193.839844 1721427508.4020
MEM 193.839844 1721427508.5130
MEM 192.976562 1721427508.6221
MEM 193.839844 1721427508.7326
MEM 193.839844 1721427508.8426
MEM 193.839844 1721427508.9546
MEM 193.843750 1721427509.0626
MEM 193.851562 1721427509.1746
MEM 192.988281 1721427509.2846
MEM 193.851562 1721427509.3961
MEM 193.851562 1721427509.5061
MEM 193.851562 1721427509.6151
MEM 193.851562 1721427509.7221
MEM 193.867188 1721427509.8341
MEM 193.867188 1721427509.9461
MEM 193.867188 1721427510.0581
MEM 193.015625 1721427510.1701
MEM 193.882812 1721427510.2801
MEM 193.898438 1721427510.3891
MEM 193.898438 1721427510.4991
MEM 193.898438 1721427510.6101
MEM 193.898438 1721427510.7201
MEM 193.898438 1721427510.8321
MEM 193.898438 1721427510.9441
MEM 193.898438 1721427511.0531
MEM 193.898438 1721427511.1631
MEM 193.906250 1721427511.2721
MEM 193.910156 1721427511.3810
MEM 193.046875 1721427511.4901
MEM 193.925781 1721427511.6020
MEM 193.925781 1721427511.7080
MEM 193.925781 1721427511.8200
MEM 193.925781 1721427511.9290
MEM 193.925781 1721427512.0370
MEM 193.062500 1721427512.1460
MEM 193.929688 1721427512.2580
MEM 193.937500 1721427512.3672
MEM 193.074219 1721427512.4755
MEM 193.937500 1721427512.5871
MEM 193.937500 1721427512.6985
MEM 193.914062 1721427512.8100
MEM 193.914062 1721427512.9190
MEM 193.914062 1721427513.0280
MEM 193.050781 1721427513.1400
MEM 193.917969 1721427513.2514
MEM 193.921875 1721427513.3630
MEM 193.925781 1721427513.4730
MEM 193.925781 1721427513.5850
MEM 193.925781 1721427513.6960
MEM 193.925781 1721427513.8060
MEM 193.925781 1721427513.9170
MEM 193.925781 1721427514.0290
MEM 193.925781 1721427514.1370
MEM 193.929688 1721427514.2450
MEM 193.929688 1721427514.3564
MEM 193.070312 1721427514.4684
MEM 193.937500 1721427514.5801
MEM 193.937500 1721427514.6900
MEM 193.074219 1721427514.8014
MEM 193.937500 1721427514.9134
MEM 193.937500 1721427515.0248
MEM 193.937500 1721427515.1369
MEM 193.074219 1721427515.2450
MEM 193.941406 1721427515.3549
MEM 193.929688 1721427515.4650
MEM 193.062500 1721427515.5770
MEM 193.925781 1721427515.6890
MEM 193.925781 1721427515.7997
MEM 193.925781 1721427515.9107
MEM 193.925781 1721427516.0187
MEM 193.062500 1721427516.1297
MEM 193.925781 1721427516.2369
MEM 193.929688 1721427516.3457
MEM 193.929688 1721427516.4569
MEM 193.933594 1721427516.5647
MEM 193.937500 1721427516.6767
MEM 193.074219 1721427516.7887
MEM 193.074219 1721427516.9007
MEM 193.937500 1721427517.0127
MEM 193.937500 1721427517.1247
MEM 193.937500 1721427517.2362
MEM 193.941406 1721427517.3472
MEM 193.941406 1721427517.4582
MEM 193.941406 1721427517.5702
MEM 193.949219 1721427517.6822
MEM 193.085938 1721427517.7932
MEM 193.949219 1721427517.9042
MEM 193.949219 1721427518.0162
MEM 193.949219 1721427518.1269
MEM 193.949219 1721427518.2359
MEM 193.953125 1721427518.3459
MEM 193.953125 1721427518.4559
MEM 193.953125 1721427518.5679
MEM 193.093750 1721427518.6779
MEM 193.960938 1721427518.7899
MEM 193.960938 1721427518.9019
MEM 193.960938 1721427519.0139
MEM 193.960938 1721427519.1259
MEM 193.972656 1721427519.2379
MEM 193.972656 1721427519.3499
MEM 193.976562 1721427519.4619
MEM 193.113281 1721427519.5739
MEM 193.976562 1721427519.6859
MEM 193.984375 1721427519.7979
MEM 193.996094 1721427519.9079
MEM 193.996094 1721427520.0199
MEM 193.996094 1721427520.1319
MEM 193.996094 1721427520.2433
MEM 193.996094 1721427520.3543
MEM 194.000000 1721427520.4653
MEM 193.136719 1721427520.5763
MEM 194.000000 1721427520.6883
MEM 194.000000 1721427520.7978
MEM 194.003906 1721427520.9078
MEM 193.121094 1721427521.0178
MEM 193.984375 1721427521.1298
MEM 193.984375 1721427521.2408
MEM 193.984375 1721427521.3512
MEM 193.988281 1721427521.4632
MEM 193.125000 1721427521.5752
MEM 193.988281 1721427521.6873
MEM 193.988281 1721427521.7949
MEM 193.988281 1721427521.9062
MEM 193.988281 1721427522.0172
MEM 193.988281 1721427522.1278
MEM 193.992188 1721427522.2388
MEM 193.992188 1721427522.3508
MEM 193.996094 1721427522.4608
MEM 193.996094 1721427522.5728
MEM 193.996094 1721427522.6848
MEM 193.996094 1721427522.7948
MEM 193.132812 1721427522.9058
MEM 193.996094 1721427523.0168
MEM 193.996094 1721427523.1288
MEM 193.132812 1721427523.2388
MEM 193.996094 1721427523.3508
MEM 194.000000 1721427523.4588
MEM 194.000000 1721427523.5707
MEM 194.000000 1721427523.6827
MEM 193.136719 1721427523.7948
MEM 194.000000 1721427523.9062
MEM 194.000000 1721427524.0182
MEM 194.000000 1721427524.1302
MEM 194.000000 1721427524.2397
MEM 194.000000 1721427524.3497
MEM 194.000000 1721427524.4590
MEM 194.003906 1721427524.5682
MEM 194.003906 1721427524.6765
MEM 194.003906 1721427524.7850
MEM 194.003906 1721427524.8962
MEM 194.003906 1721427525.0048
MEM 194.003906 1721427525.1157
MEM 194.003906 1721427525.2262
MEM 194.003906 1721427525.3362
MEM 194.003906 1721427525.4477
MEM 194.007812 1721427525.5592
MEM 194.007812 1721427525.6707
MEM 194.007812 1721427525.7818
MEM 194.007812 1721427525.8931
MEM 194.007812 1721427526.0039
MEM 194.007812 1721427526.1141
MEM 193.144531 1721427526.2250
MEM 194.007812 1721427526.3350
MEM 194.007812 1721427526.4441
MEM 194.011719 1721427526.5552
MEM 193.148438 1721427526.6651
MEM 194.011719 1721427526.7761
MEM 194.011719 1721427526.8861
MEM 194.011719 1721427526.9978
MEM 194.011719 1721427527.1091
MEM 194.011719 1721427527.2202
MEM 194.011719 1721427527.3311
MEM 194.023438 1721427527.4417
MEM 194.027344 1721427527.5537
