CMDLINE C:\Python310\python.exe main.py
MEM 1.660156 1721678663.5922
MEM 23.945312 1721678663.6931
MEM 41.960938 1721678663.8044
MEM 52.660156 1721678663.9146
MEM 63.671875 1721678664.0251
MEM 92.812500 1721678664.1356
MEM 142.296875 1721678664.2461
MEM 195.757812 1721678664.3561
MEM 200.660156 1721678664.4675
MEM 201.925781 1721678664.5758
MEM 204.191406 1721678664.6875
MEM 204.687500 1721678664.7995
MEM 205.488281 1721678664.9085
MEM 205.371094 1721678665.0195
MEM 205.410156 1721678665.1315
MEM 206.343750 1721678665.2435
MEM 208.824219 1721678665.3532
MEM 207.277344 1721678665.4641
MEM 207.980469 1721678665.5740
MEM 209.464844 1721678665.6830
MEM 210.917969 1721678665.7950
MEM 210.378906 1721678665.9070
MEM 210.289062 1721678666.0190
MEM 212.308594 1721678666.1290
MEM 212.628906 1721678666.2410
MEM 213.125000 1721678666.3510
MEM 213.257812 1721678666.4610
MEM 213.527344 1721678666.5720
MEM 215.859375 1721678666.6815
MEM 214.808594 1721678666.7930
MEM 215.265625 1721678666.9050
MEM 214.285156 1721678667.0166
MEM 215.660156 1721678667.1271
MEM 214.703125 1721678667.2381
MEM 217.335938 1721678667.3501
MEM 214.277344 1721678667.4602
MEM 214.472656 1721678667.5720
MEM 216.734375 1721678667.6820
MEM 217.644531 1721678667.7931
MEM 214.984375 1721678667.9031
MEM 215.535156 1721678668.0150
MEM 214.484375 1721678668.1260
MEM 216.617188 1721678668.2366
MEM 219.265625 1721678668.3455
MEM 215.031250 1721678668.4574
MEM 214.386719 1721678668.5694
MEM 215.398438 1721678668.6814
MEM 215.574219 1721678668.7914
MEM 215.746094 1721678668.9035
MEM 217.703125 1721678669.0120
MEM 220.027344 1721678669.1214
MEM 221.273438 1721678669.2306
MEM 215.976562 1721678669.3411
MEM 222.664062 1721678669.4524
MEM 216.679688 1721678669.5634
MEM 220.660156 1721678669.6730
MEM 220.894531 1721678669.7825
MEM 216.761719 1721678669.8940
MEM 222.000000 1721678670.0053
MEM 222.296875 1721678670.1134
MEM 216.699219 1721678670.2254
MEM 217.761719 1721678670.3374
MEM 217.925781 1721678670.4462
MEM 218.062500 1721678670.5569
MEM 225.992188 1721678670.6689
MEM 225.867188 1721678670.7802
MEM 218.433594 1721678670.8903
MEM 218.578125 1721678671.0017
MEM 222.199219 1721678671.1124
MEM 223.699219 1721678671.2224
MEM 226.183594 1721678671.3324
MEM 219.101562 1721678671.4438
MEM 225.410156 1721678671.5524
MEM 224.468750 1721678671.6624
MEM 226.093750 1721678671.7715
MEM 225.601562 1721678671.8834
MEM 224.125000 1721678671.9934
MEM 219.691406 1721678672.1029
MEM 225.941406 1721678672.2138
MEM 224.109375 1721678672.3244
MEM 224.289062 1721678672.4323
MEM 222.691406 1721678672.5423
MEM 226.445312 1721678672.6503
